profile_name,prediction_source,weighting_scheme,sort_strategy,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,max_turnover,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost,grid_index,is_current_default_profile,rank_after_cost,is_best_profile
swt_risk_adjusted_risk_adjusted_mt050,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.5,60,0.14016787730027525,0.10653431498866195,0.0022110119227585173,0.0017110119227585175,0.006705656170679751,0.006705656170679751,-0.03631549290168201,-0.047369042103352244,2.3776694346557727,1.8399813719678684,0.5333333333333333,0.5166666666666667,5.0,5.0,0.017053828056021306,0.5,1.6329356067044019,0.3140032436001162,0.030000000000000002,36,False,21,False
swt_pure_prediction_risk_adjusted_mt070,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.7,60,0.15340013405352693,0.10605286706487749,0.0024213615143255586,0.0017213615143252233,0.008984050390593079,0.008984050390592895,-0.050751863001014974,-0.06529759949278902,1.9435205095192265,1.3816612627214666,0.5333333333333333,0.48333333333333334,5.0,5.0,0.006123591650607348,0.700000000000335,1.6249532668815532,0.44602010490899857,0.042000000000020105,19,False,22,False
swt_pure_prediction_risk_adjusted_mt065,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.65,60,0.14955356402102593,0.10566853308009239,0.0023610495069763104,0.0017110495069761957,0.00846066492226383,0.008460664922263838,-0.046430680338840236,-0.060003251463602414,2.012344216330046,1.4583432363633486,0.55,0.48333333333333334,5.0,5.0,0.008047337036481363,0.6500000000001137,1.6365666240988648,0.4103204591414821,0.039000000000006835,18,False,23,False
swt_pure_prediction_risk_adjusted_mt075,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.75,60,0.1564230288165369,0.1056370942280409,0.002469742767944961,0.001719742767944563,0.009494539837288332,0.009494539837288256,-0.05510474673905996,-0.07061308706524183,1.8757695137703796,1.3061445497507027,0.5333333333333333,0.48333333333333334,5.0,5.0,0.004571103800509826,0.7500000000003985,1.6136180771891395,0.4824039065637125,0.04500000000002391,20,False,24,False
swt_pure_prediction_pred_mt065,replay_walk_forward_predictions,pred,pure_prediction,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.65,60,0.14864651198835843,0.10479547561364022,0.0023494255018617293,0.0016994255018616226,0.00864443489798586,0.008644434897985808,-0.04943526281325783,-0.0629669995028056,1.9598676408145324,1.417644035290475,0.55,0.5,5.0,5.0,0.008185102520315153,0.6500000000001069,1.6431366845925057,0.4087222420359907,0.03900000000000642,11,False,25,False
swt_pure_prediction_pred_mt070,replay_walk_forward_predictions,pred,pure_prediction,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.7,60,0.15180137863435683,0.10451859483322323,0.0023998205764006425,0.0016998205764003588,0.009164729553963668,0.009164729553963573,-0.05390752219302963,-0.06840708584711397,1.8882556411899474,1.3374732361086772,0.5333333333333333,0.5,5.0,5.0,0.006268891510412009,0.7000000000002841,1.6319368005893176,0.44423721095093166,0.04200000000001704,12,False,26,False
swt_pure_prediction_risk_adjusted_mt060,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.6,60,0.14490987286639423,0.10450266792706131,0.00228909729697873,0.0016890972969787188,0.007924675886039956,0.007924675886039963,-0.04215834088782189,-0.0547470569252827,2.082976716643277,1.537003405838391,0.55,0.48333333333333334,5.0,5.0,0.010429807005455285,0.6000000000000113,1.6483506398573526,0.3753358574263053,0.03600000000000068,17,False,27,False
swt_pure_prediction_pred_mt060,replay_walk_forward_predictions,pred,pure_prediction,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.6,60,0.14458829950010332,0.10419220073087043,0.0022858567320208,0.0016858567320207844,0.008106980572562896,0.008106980572562908,-0.044995424803585204,-0.05754853799817161,2.0332535848325173,1.4995577788748733,0.5333333333333333,0.5,5.0,5.0,0.010567576584856643,0.6000000000000156,1.6545784905666576,0.3738888129196712,0.036000000000000934,10,False,28,False
swt_pure_prediction_pred_mt075,replay_walk_forward_predictions,pred,pure_prediction,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.75,60,0.15421949354818798,0.10352867063113291,0.002439568810502258,0.0016895688105018644,0.009671522045748407,0.009671522045748223,-0.058388329287025864,-0.07384520862952182,1.8189464687526185,1.2597452502043873,0.55,0.4666666666666667,5.0,5.0,0.004721153883305366,0.7500000000003929,1.6209488050746512,0.4805036879102643,0.045000000000023584,13,False,29,False
swt_pure_prediction_pred_mt055,replay_walk_forward_predictions,pred,pure_prediction,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.55,60,0.13960045398341658,0.10267555902101178,0.0022086241925085076,0.001658624192508507,0.00755335517997323,0.007553355179973232,-0.040595760870829056,-0.05215945383123988,2.1085484753671797,1.583469711227235,0.5333333333333333,0.5,5.0,5.0,0.013546220539596723,0.5499999999999999,1.6661816117805242,0.3397241256194253,0.03300000000000001,9,False,30,False
