profile_name,date,stock_id,target_weight,executed_weight,pred_return,target_return,selection_score,risk_penalty,volatility_20d,volatility_5d,turnover_rate,turnover_ratio_10d,amplitude_ratio_5d
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-14,002049,0.19729150469027465,0.19470787294520062,0.55076104,-0.0643672857307648,0.8212962962962963,0.3055555555555556,0.0113723192910554,0.0,2.7733,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-15,600026,0.20428367747217444,0.20428367747217444,0.57509565,0.03,0.9135185185185185,0.8648148148148149,0.0242924601445631,0.0257156220900303,1.8416,-0.0102862302094864,0.298926220990648
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-15,000807,0.20088350961088977,0.20088350961088977,0.56552356,-0.0189132392674872,0.8737037037037036,0.8925925925925927,0.0280772315968374,0.0129017320946186,3.1431,0.3532562364915486,0.3007344414379591
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-15,002049,0.19919711396238168,0.19919711396238168,0.56077605,-0.0477225785411457,0.8611111111111112,0.6481481481481481,0.0238450773606774,0.0447156849706848,1.417,-0.462783441446428,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-15,600346,0.1978278417278658,0.1978278417278658,0.5569213,0.1189371573175875,0.8209259259259258,0.6796296296296297,0.0296913618288613,0.0309336239816942,0.3937,-0.3183982271775074,-0.3217357310398749
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-15,002493,0.19780785722668834,0.19780785722668834,0.55686504,0.1044142614601018,0.7712962962962964,0.8055555555555555,0.0248012726274486,0.0138623860181614,0.6431,-0.0919231855408075,0.131710016602103
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-16,000807,0.2045924410002458,0.20335497325702648,0.5745173,0.0119963088280528,0.9216071428571428,0.7839285714285715,0.0284088556588931,0.013866055750424,2.3702,-0.0086744125741338,0.0702464141228393
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-16,601899,0.2007660045078281,0.13378135895023086,0.56377226,0.02046783625731,0.8816071428571428,0.8267857142857143,0.0250411341334268,0.0172230833506507,1.9163,0.1748009097764182,0.2350230414746545
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-16,603993,0.19955200839466827,0.1329724070055181,0.56036323,-0.0527400082406262,0.8596428571428572,0.6892857142857144,0.0249952666176457,0.01434506248901,1.8923,0.2255590888778067,-0.1488898563343491
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-16,600026,0.1988355362017132,0.20065328324929832,0.5583513,0.0227434257285003,0.8275,0.6535714285714287,0.0229727678501581,0.0327407638479538,1.6497,-0.1529792313814084,-0.558240173097728
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-16,600219,0.1962540098955446,0.13077477039811436,0.5511021,0.1064189189189189,0.7933928571428571,0.6375,0.0197232730209981,0.0134097116586988,3.9256,0.120386781171246,0.0741265344664778
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-19,600026,0.20766619257606678,0.20766619257606678,0.58665293,-0.0074779061862678,0.9310869565217391,0.6891304347826087,0.0235951820461365,0.0205008893417414,1.4589,-0.2345669944070767,-0.0093954248366013
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-19,603993,0.20236773817226056,0.20236773817226056,0.5716849,0.0141448778396912,0.8634782608695653,0.9304347826086956,0.0274168746533781,0.0271550345600454,1.8729,0.1679492136344929,0.262155591572123
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-19,002422,0.19786952648022413,0.19786952648022413,0.55897754,-0.0095384615384616,0.8576086956521739,0.5543478260869565,0.0229121726400061,0.0159033698378072,0.9771,-0.3103083178045063,-0.119047619047619
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-19,601899,0.19679718630829593,0.19679718630829593,0.5559482,0.0397208803005903,0.8041304347826087,0.6543478260869566,0.0252445821339727,0.0175167597354494,1.2294,-0.2332734620565784,-0.2042810609585854
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-19,000807,0.19529935646315255,0.19529935646315255,0.55171686,-0.0012106537530267,0.7517391304347826,0.7434782608695653,0.0283480954113775,0.0169142831722609,2.0265,-0.1507204103698861,-0.1742770167427701
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-20,600026,0.20387352080815546,0.20387352080815546,0.5790339,0.0543554006968641,0.948695652173913,0.5130434782608696,0.0226740135358795,0.0216761723939622,1.2962,-0.3127326327398436,-0.0438247011952191
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-20,002422,0.1985057995064761,0.1985057995064761,0.5637887,-0.0147239263803681,0.8791304347826087,0.33913043478260874,0.0224783603859998,0.0165889847311233,0.804,-0.4141180071267735,-0.2315939957112222
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-20,603993,0.20242366003329468,0.20242366003329468,0.57491606,0.0673076923076922,0.8695652173913044,0.8695652173913043,0.0277498672538189,0.0281024092377941,1.7758,0.092631902784187,0.0731892301858172
